month,average_vkospi_stress,maximum_vkospi_stress,maximum_crisis_score,maximum_pre_crash_score,last_source_date,signal_month
2016-03,0.06628347327342139,0.5960176597113773,0.4314468931306836,0.9919640557816763,2016-02-26,2016-02
2016-04,0.006275136308702087,0.0552105712631537,0.0177444170861042,0.6085889643485938,2016-03-30,2016-03
2016-05,0.0006567234132268095,0.013791191677763,0.2085408605180599,0.2484630462740676,2016-04-28,2016-04
2016-06,0.00891662446922235,0.1074870138633196,0.0177851654507794,0.6495358266857537,2016-05-30,2016-05
2016-07,0.12490132568240794,0.6,0.3907419073059373,0.3603132005313076,2016-06-29,2016-06
2016-08,0.03649198704041384,0.25,0.0271534779120202,0.3860335354840418,2016-07-28,2016-07
2016-09,0.0019892518957293002,0.0457527936017739,0.0241839416811013,0.4688199339197962,2016-08-30,2016-08
2016-10,0.095999084029763,0.343028766608111,0.1797667833436193,0.7611523175791853,2016-09-29,2016-09
2016-11,0.02820632609578434,0.2418301711166662,0.007737000382232,0.2957227400343778,2016-10-28,2016-10
2016-12,0.053194484347089836,0.3446980281797063,0.1312456502462385,0.5563459178107973,2016-11-29,2016-11
2017-01,0.001468849874399618,0.0323146972367916,0.0569317569718946,0.2568619446798928,2016-12-29,2016-12
2017-02,0.0008257027291731909,0.0181654600418102,0.35,0.0801149191295949,2017-01-26,2017-01
2017-03,0.003988586457489415,0.0391869063733883,0.0866490223586218,0.6588630852464937,2017-02-27,2017-02
2017-04,0.056545742450216506,0.2031931587303963,0.2404590718251881,0.25201740037374,2017-03-30,2017-03
2017-05,0.14639645516477492,0.7944664031620552,0.2147460579341548,0.6046093632711705,2017-04-27,2017-04
2017-06,0.11763364743267045,0.5644980729569189,0.35,0.8031888474913513,2017-05-30,2017-05
2017-07,7.015784135849546e-05,0.0015434725098869,0.0187707536729888,0.5241607787424304,2017-06-29,2017-06
2017-08,0.02307251490054721,0.3455025001858778,0.35,0.4974087894268471,2017-07-28,2017-07
2017-09,0.15572544236268526,0.8526287696069345,0.4730539815641069,0.422311871479552,2017-08-30,2017-08
2017-10,0.039838570093496166,0.2797028214811671,0.5311962149088433,0.4458818977884163,2017-09-28,2017-09
2017-11,1.86915548384e-05,0.000373831096768,0.0410075229147148,0.96702307685551,2017-10-30,2017-10
2017-12,0.0049300188223612,0.0433182960399611,0.0711570968322203,0.5008651010353897,2017-11-29,2017-11
2018-01,0.044010374331401814,0.1787095804854216,0.5248825202097493,0.9059295835382442,2017-12-28,2017-12
2018-02,0.021642600396800254,0.1961652200382759,0.0450586056026914,0.6267436597571276,2018-01-30,2018-01
2018-03,0.32725933314240085,0.8815469312579783,0.6196404423776939,0.4945033443473401,2018-02-27,2018-02
2018-04,0.1511032993007339,0.4181239540634246,0.2021672580134205,0.410149541518221,2018-03-29,2018-03
2018-05,0.053877952276043084,0.241897233201581,0.1866798549496924,0.2487763767148748,2018-04-27,2018-04
2018-06,0.01848949139895749,0.1321582879045807,0.0220497974494943,0.9370005787157304,2018-05-30,2018-05
2018-07,0.028188543016335502,0.180442971227532,0.1350714321157479,0.476480022455313,2018-06-28,2018-06
2018-08,0.038669334614313516,0.2475581201550677,0.0780073884741286,0.3246593680727042,2018-07-30,2018-07
2018-09,0.018660218664435294,0.2212730173500914,0.0485507232814214,0.283894667797397,2018-08-30,2018-08
2018-10,0.02461919994253758,0.0879853377885761,0.0636232080618324,0.7895276619091833,2018-09-27,2018-09
2018-11,0.23711733578295688,0.849855617548429,0.7558075898385082,0.3047049992688847,2018-10-30,2018-10
2018-12,0.06546883490518968,0.2735177865612646,0.2767152468941208,0.6372685895967832,2018-11-29,2018-11
2019-01,0.06637303504128098,0.3729621963787603,0.1192432174898735,0.5218068890146993,2018-12-28,2018-12
2019-02,0.0196424524076461,0.1628458498023715,0.2319127755978967,0.3791573069255442,2019-01-30,2019-01
2019-03,0.001653674391233375,0.0291712351673028,0.3396663481573964,0.5477052761404909,2019-02-27,2019-02
2019-04,0.006953583811159157,0.0771241280146764,0.0272309001491607,0.407184543492423,2019-03-28,2019-03
2019-05,0.050062123710144485,0.94522382868195,0.2236376079373828,0.3980549722123674,2019-04-29,2019-04
2019-06,0.0,0.0,0.163888748655279,0.0857800691311553,2019-05-30,2019-05
2019-07,0.0,0.0,0.1308309094853418,0.8137272167272355,2019-06-27,2019-06
2019-08,0.014713753191310129,0.1074151310133308,0.0555936541589295,0.5811123454653397,2019-07-30,2019-07
2019-09,0.07449794988594499,0.6984951605782556,0.1512150846237627,0.3676238752590285,2019-08-29,2019-08
2019-10,0.010107496027120633,0.1200031071566441,0.1840739340416067,0.2933105297918421,2019-09-27,2019-09
