target_month,signal_date,p_tail_raw,tail_event,adverse_excursion,standardized_adverse,horizon,fit_count,train_rows,feature_count,risk_percentile,risk_severity,p_up,score
2021-09,2021-08-31,0.1741385188159685,0.0,-0.030010865607628334,0.8655599946352248,10,67,1260,68,0.5081967213114754,0.0,0.5,-0.0
2021-10,2021-09-30,0.17559023722665204,1.0,-0.05087675636561051,1.8374956863912586,10,68,1260,68,0.5409836065573771,0.0,0.5,-0.0
2021-11,2021-10-29,0.17559023722665204,0.0,-0.005151193603473381,0.14854062333278312,10,68,1260,68,0.5573770491803278,0.0,0.5,-0.0
2021-12,2021-11-30,0.17559023722665204,0.0,0.024045266694087575,-0.7076046263304859,10,68,1260,68,0.5737704918032787,0.0,0.5,-0.0
2022-01,2021-12-30,0.17844877620827285,0.0,-0.026335719146486802,1.2226259222778764,10,69,1260,68,0.6229508196721312,0.0,0.5,-0.0
2022-02,2022-01-28,0.17844877620827285,0.0,0.007310639135411634,-0.17053382283612914,10,69,1260,68,0.639344262295082,0.0,0.5,-0.0
2022-03,2022-02-28,0.16472707209826812,0.0,-0.03592433683704621,0.7473534490937394,10,69,1260,68,0.29508196721311475,0.0,0.5,-0.0
2022-04,2022-03-31,0.18853688276888517,0.0,-0.03559869503597868,0.9650446970624383,10,70,1260,68,0.8032786885245902,0.01639344262295062,0.4975409836065574,-0.01639344262295062
2022-05,2022-04-29,0.18552932398404506,1.0,-0.04801473760572994,1.5101076621516705,10,70,1260,68,0.7868852459016393,0.0,0.5,-0.0
2022-06,2022-05-31,0.18552932398404506,1.0,-0.08958793065966231,2.3275887283881267,10,70,1260,68,0.8032786885245902,0.01639344262295062,0.4975409836065574,-0.01639344262295062
2022-07,2022-06-30,0.16857899111581678,0.0,-0.017003912015509437,0.39347532628220266,10,71,1260,68,0.47540983606557374,0.0,0.5,-0.0
2022-08,2022-07-29,0.16857899111581678,0.0,-0.005866963778947021,0.18049906887361303,10,71,1260,68,0.4918032786885246,0.0,0.5,-0.0
2022-09,2022-08-31,0.16857899111581678,1.0,-0.042196577674538216,1.3425127595157749,10,71,1260,68,0.5081967213114754,0.0,0.5,-0.0
2022-10,2022-09-30,0.17537054085489978,0.0,0.0031829956350921673,-0.07963499697224374,10,72,1260,68,0.5901639344262295,0.0,0.5,-0.0
