month,return,baseline_return,defensive_return,risk_probability,activation,defensive_shift,turnover,incremental_turnover,incremental_trade_cost,incremental_fx_cost,nav,drawdown
2017-06,-0.0067524615277793,-0.0067524615277793,0.00139721720905861,0.08172904707233067,0.0,0.0,0.0290894558922267,0.0,0.0,0.0,3.2846551679352682,-0.06769172085822783
2017-07,0.0238420804075432,0.0238420804075432,0.0008139061682461701,0.08111851851851853,0.0,0.0,0.0295329242541417,0.0,0.0,0.0,3.3629681805602334,-0.04546355190231144
2017-08,-0.0196638974353393,-0.0196638974353393,0.0009294220156839117,0.08051831298557159,0.0,0.0,0.4225378479847957,0.0,0.0,0.0,3.2968391191793875,-0.0642334587159974
2017-09,0.0543015332367176,0.0543015332367176,-0.0017410481109628728,0.08065809400368375,0.0,0.0,0.0378970580282224,0.0,0.0,0.0,3.4758625381856176,-0.01341990077265598
2017-10,0.0404007558718149,0.0404007558718149,-0.007906517062961416,0.08007246376811594,0.0,0.0,0.0231144973185889,0.0,0.0,0.0,3.616290012034842,0.0
2017-11,0.0009819579438485,0.0009819579438485,0.005801347787869782,0.07949646887994193,0.0,0.0,0.0144529936131279,0.0,0.0,0.0,3.61984105673942,0.0
2017-12,0.012709146991741,0.012709146991741,0.0011069680727104902,0.07964415584415585,0.0,0.0,0.0322255345767888,0.0,0.0,0.0,3.6658461488162604,0.0
2018-01,0.0638302638420957,0.0638302638420957,-0.006809055461793778,0.07908165612420931,0.0,0.0,0.0186857530624791,0.0,0.0,0.0,3.899838075699733,0.0
2018-02,-0.0482998299873186,-0.0482998299873186,0.0016992851283252897,0.07852816901408452,0.0,0.0,0.4104130924768816,0.0,0.0,0.0,3.711476559665364,-0.04829982998731863
2018-03,0.0251574316669376,0.0251574316669376,0.0062591400994445046,0.07868277739959156,0.0,0.0,0.6019191337537658,0.0,0.0,0.0,3.804847777598586,-0.024357497992811727
2018-04,0.0329774406707639,0.0329774406707639,-0.000523194977328223,0.15108155878201251,0.0,0.0,0.5677445094454392,0.0,0.0,0.0,3.9303219194456314,0.0
2018-05,-0.0130386075786191,-0.0130386075786191,0.003373465945442744,0.07814181286549708,0.0,0.0,0.5697106541818562,0.0,0.0,0.0,3.879075994280335,-0.013038607578619077
2018-06,0.0709282728277205,0.0709282728277205,0.007535795026375247,0.07814181286549708,0.0,0.0,0.602541426224058,0.0,0.0,0.0,4.154212154722112,0.0
