name,stage,mode,level_threshold,momentum_window,spike_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Validation_CAGR,Validation_Sharpe,Validation_MDD,Validation_Calmar,AvgTurnover,TotalCost
momentum_lt0.80_mw10_st0.05_rt0.50_bs0.50_rb0.10,coarse,momentum,0.8,10,0.05,0.5,0.5,0.1,0.04,0.11819349296505033,0.8865390017114642,-0.14276739518087178,0.8278745494747676,0.014201624764210496,0.22827820821478206,-0.1254791318381987,0.11317917614000576,0.3569666676024643,0.14481450404707474
momentum_lt0.80_mw10_st0.05_rt0.75_bs0.50_rb0.05,coarse,momentum,0.8,10,0.05,0.75,0.5,0.05,0.04,0.11096151766308138,0.8377595492176826,-0.17414235537617995,0.6371885657764523,0.004217224167468059,0.09301160394991112,-0.1482363627455281,0.028449323022770142,0.6233034164775443,0.2544907383131202
momentum_lt0.80_mw10_st0.05_rt0.75_bs0.50_rb0.10,coarse,momentum,0.8,10,0.05,0.75,0.5,0.1,0.04,0.11320595788373211,0.8488308688083454,-0.1737650368327751,0.6514886996092156,0.00833065342934236,0.14569311097354176,-0.14705404649261156,0.056650283538854665,0.5437417699357271,0.2216414122804845
momentum_lt0.80_mw10_st0.05_rt1.00_bs0.50_rb0.05,coarse,momentum,0.8,10,0.05,1.0,0.5,0.05,0.04,0.10392784627092144,0.787538721482587,-0.20592720226555206,0.5046824563609715,-0.0018801746100267636,0.017644905953617524,-0.17298917424263927,-0.0108687414588706,0.8227071930588974,0.33644359373437466
momentum_lt0.80_mw10_st0.05_rt1.00_bs0.50_rb0.10,coarse,momentum,0.8,10,0.05,1.0,0.5,0.1,0.04,0.10610700062044076,0.8055288548263098,-0.19872099663882237,0.5339496198949295,0.0021859464167883758,0.06727610181542808,-0.16883150060711694,0.012947503332776923,0.7416567961809489,0.3031817115567816
momentum_lt0.80_mw10_st0.10_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,10,0.1,0.25,0.5,0.05,0.04,0.12719070103751284,0.9435859253918172,-0.12904531079702675,0.9856282281931887,0.021801845237033213,0.3349418118483683,-0.11293787399944477,0.19304281606310736,0.19581864016823933,0.07884483998924725
momentum_lt0.80_mw10_st0.10_rt0.25_bs0.50_rb0.10,coarse,momentum,0.8,10,0.1,0.25,0.5,0.1,0.04,0.12789597614401726,0.9468333267865966,-0.13001562033708947,0.9836970035786728,0.022841392125923843,0.3540326531170581,-0.10944848930986828,0.2086953622654011,0.15881819614133233,0.06360413436816707
momentum_lt0.80_mw10_st0.10_rt0.50_bs0.50_rb0.05,coarse,momentum,0.8,10,0.1,0.5,0.5,0.05,0.04,0.12245276500166247,0.9126307090585113,-0.14445096447526418,0.8477116469695245,0.016538030523606473,0.2570002348500247,-0.12637054986971707,0.13086934052796725,0.34153858813433857,0.1386924242054569
momentum_lt0.80_mw10_st0.10_rt0.50_bs0.50_rb0.10,coarse,momentum,0.8,10,0.1,0.5,0.5,0.1,0.04,0.1226247705230401,0.9116297325858095,-0.14258248923790695,0.8600268600896267,0.019844932386239966,0.3023188555737073,-0.12671849131855129,0.15660644456658485,0.2856240439781915,0.11561237038588142
momentum_lt0.80_mw10_st0.10_rt0.75_bs0.50_rb0.05,coarse,momentum,0.8,10,0.1,0.75,0.5,0.05,0.04,0.11859310696891501,0.8807941314814578,-0.15814806286263905,0.7498865608737816,0.012851810069509417,0.204272670129987,-0.1376326723121314,0.09337761051651554,0.48789645649075597,0.19888330305209667
momentum_lt0.80_mw10_st0.10_rt0.75_bs0.50_rb0.10,coarse,momentum,0.8,10,0.1,0.75,0.5,0.1,0.04,0.11843909701464894,0.884049873607465,-0.15320278002343113,0.7730871267253416,0.014806348301875882,0.231478475258292,-0.13417675059102974,0.11034958170216523,0.4335412189050485,0.17644198234979935
momentum_lt0.80_mw10_st0.10_rt1.00_bs0.50_rb0.05,coarse,momentum,0.8,10,0.1,1.0,0.5,0.05,0.04,0.114108700224818,0.8467429577503616,-0.17159439504947427,0.6649908360463527,0.009170730847640751,0.15388941309380627,-0.14998488960667467,0.06114436508697896,0.6307345820589353,0.25759330322147206
momentum_lt0.80_mw10_st0.10_rt1.00_bs0.50_rb0.10,coarse,momentum,0.8,10,0.1,1.0,0.5,0.1,0.04,0.11588348290907624,0.8614775836604697,-0.1683149607337282,0.688491875017588,0.009778759556751337,0.16175632687994299,-0.14796074551375216,0.06609022901849636,0.5766936033448311,0.23532950780745493
