target_month,signal_month,signal_date,p_up,feature_variant,score,realized_10d_return,realized_up,hmm_score,train_rows,feature_count,best_iteration
2015-03,2015-02,2015-02-27,0.5616666267563795,kr_plus_global,0.41111084504252976,0.0035411861362610875,1.0,-0.004178889012788029,3737,75,4
2015-04,2015-03,2015-03-31,0.554513058824007,kr_plus_global,0.3634203921600469,0.02873656806255731,1.0,0.9813267042490911,3759,75,8
2015-05,2015-04,2015-04-30,0.5576828354847548,kr_plus_global,0.38455223656503223,-0.020637851952848618,0.0,0.9999570818636111,3781,75,3
2015-06,2015-05,2015-05-29,0.5905877266278876,kr_plus_global,0.6039181775192508,-0.03877151069052209,0.0,-0.9996323852874286,3799,75,8
2015-07,2015-06,2015-06-30,0.5471346554902242,kr_plus_global,0.3142310366014948,-0.013913443131731484,0.0,-0.9949085816771535,3821,75,15
2015-08,2015-07,2015-07-31,0.6310586576917785,kr_plus_global,0.8737243846118566,-0.02982917654215589,0.0,-0.9998511216176719,3844,75,45
2015-09,2015-08,2015-08-31,0.6095316306441888,kr_plus_global,0.7302108709612587,0.004965276012869335,1.0,-0.42326120175166915,3864,75,17
2015-10,2015-09,2015-09-30,0.6185303750909394,kr_plus_global,0.790202500606263,0.04928098742105824,1.0,6.178474216083828e-05,3883,75,22
2015-11,2015-10,2015-10-30,0.5431667896606278,kr_plus_global,0.2877785977375188,-0.03290092049934357,0.0,0.9999976726909128,3904,75,4
2015-12,2015-11,2015-11-30,0.5682113832193247,kr_plus_global,0.4547425547954983,-0.02429548590131092,0.0,-0.9760190052454838,3925,75,17
2016-01,2015-12,2015-12-30,0.5551314676401298,kr_plus_global,0.36754311760086517,-0.04333515046887171,0.0,-0.02657531342454496,3946,75,35
2016-02,2016-01,2016-01-29,0.6540835797547045,kr_plus_global,1.0,0.0036129199392633815,1.0,-0.9998484523596302,3966,75,23
2016-03,2016-02,2016-02-29,0.5996215472674833,kr_plus_global,0.6641436484498886,0.02799816586009718,1.0,0.9984246585266681,3984,75,6
2016-04,2016-03,2016-03-31,0.5686480514115093,kr_plus_global,0.4576536760767288,0.011019512636409212,1.0,0.9999753639209391,4006,76,1
2016-05,2016-04,2016-04-29,0.565188461359505,kr_plus_global,0.43458974239669973,-0.016360031195502334,0.0,-0.002753205036289436,4026,76,1
2016-06,2016-05,2016-05-31,0.5637144330600187,kr_plus_global,0.42476288706679116,-0.0016466303637346913,0.0,-0.9704385929953695,4046,76,1
2016-07,2016-06,2016-06-30,0.5154271678636735,kr_plus_global,0.10284778575782325,0.019672251637469662,1.0,0.7223089787619145,4067,76,31
2016-08,2016-07,2016-07-29,0.5940239746583089,kr_plus_global,0.6268264977220595,0.017320260478874916,1.0,0.9785776570268955,4088,76,7
2016-09,2016-08,2016-08-31,0.4153546853347414,kr_plus_global,-0.5643020977683907,-0.00977116848767734,0.0,0.003951796973949412,4110,76,83
2016-10,2016-09,2016-09-30,0.6028337433971457,kr_plus_global,0.6855582893143046,-0.0062341138759614,0.0,0.002035604967931459,4129,76,86
2016-11,2016-10,2016-10-31,0.582737640236885,kr_plus_global,0.5515842682459001,-0.020172162157329643,0.0,0.7670336674355392,4149,76,38
2016-12,2016-11,2016-11-30,0.4948052625988277,kr_plus_global,-0.03463158267448215,0.026564283325657634,1.0,-0.7486494981088712,4171,80,16
2017-01,2016-12,2016-12-29,0.5388765904753464,kr_plus_global,0.2591772698356428,0.03228857630582138,1.0,-0.0007204758411127177,4192,80,10
2017-02,2017-01,2017-01-31,0.5452195410179552,kr_plus_global,0.3014636067863682,-0.0023862617655840968,0.0,0.9995153700256451,4212,80,1
2017-03,2017-02,2017-02-28,0.5454076503220812,kr_plus_global,0.3027176688138744,0.029234851896953407,1.0,0.9669738572295246,4232,80,1
2017-04,2017-03,2017-03-31,0.5470988635606511,kr_plus_global,0.31399242373767383,-0.011387668998354417,0.0,0.9999744283616484,4254,80,1
2017-05,2017-04,2017-04-28,0.5479164166535841,kr_plus_global,0.319442777690561,0.0427898802767912,1.0,0.9931855461590926,4274,80,1
2017-06,2017-05,2017-05-31,0.5509016658272274,kr_plus_global,0.33934443884818294,0.006048738904884887,1.0,0.012732498472470074,4293,80,1
2017-07,2017-06,2017-06-30,0.5460802351451485,kr_plus_global,0.30720156763432316,0.017078824695780037,1.0,0.9991987867072732,4314,80,1
2017-08,2017-07,2017-07-31,0.5462175578577891,kr_plus_global,0.30811705238526094,-0.02860787531212805,0.0,0.9920050806815954,4335,80,1
2017-09,2017-08,2017-08-31,0.5529882942117836,kr_plus_global,0.35325529474522427,0.012982954197189756,1.0,-0.9411876900414015,4357,80,1
2017-10,2017-09,2017-09-29,0.5621278965032034,kr_plus_global,0.4141859766880226,0.04132488700668646,1.0,-0.3652147259998282,4377,80,1
2017-11,2017-10,2017-10-31,0.55083422790385,kr_plus_global,0.338894852692333,0.0014982479495317946,1.0,0.0034882342870519406,4393,80,1
2017-12,2017-11,2017-11-30,0.5460730187559897,kr_plus_global,0.3071534583732646,0.005225076126984307,1.0,-0.9999627848361085,4415,80,1
2018-01,2017-12,2017-12-28,0.5501713582360918,kr_plus_global,0.33447572157394506,0.009457081544606893,1.0,-0.9408460226176287,4433,80,1
2018-02,2018-01,2018-01-31,0.55737494530787,kr_plus_global,0.3824996353858001,-0.0499925430577941,0.0,-0.007963124165873137,4455,80,2
