target_month,signal_date,factor_name,score,p_up,realized_10d_return,realized_up
2020-09,2020-08-31,duration_aware_hsmm,0.9999997335175361,0.9999998667587681,0.04179542504237754,1.0
2020-10,2020-09-29,duration_aware_hsmm,0.9975253960715106,0.9987626980357553,0.006916461750136715,1.0
2020-11,2020-10-30,duration_aware_hsmm,0.9995158291598171,0.9997579145799085,0.10434624761068023,1.0
2020-12,2020-11-30,duration_aware_hsmm,0.9999999999997612,0.9999999999998805,0.06904979523662846,1.0
2021-01,2020-12-30,duration_aware_hsmm,0.9999999947562694,0.9999999973781347,0.07721528679556844,1.0
2021-02,2021-01-29,duration_aware_hsmm,0.9999700546472157,0.9999850273236078,0.057629002598751145,1.0
2021-03,2021-02-26,duration_aware_hsmm,-0.8333528461199414,0.08332357694002929,0.006594167340794099,1.0
2021-04,2021-03-31,duration_aware_hsmm,-1.2451068497733883e-05,0.4999937744657511,0.03923191423366301,1.0
2021-05,2021-04-30,duration_aware_hsmm,0.9972926855421536,0.9986463427710768,-0.009930566736066737,0.0
2021-06,2021-05-31,duration_aware_hsmm,0.0008346138481113013,0.5004173069240556,0.010875109332421085,1.0
2021-07,2021-06-30,duration_aware_hsmm,0.9893930816444064,0.9946965408222033,-0.011276895641254336,0.0
2021-08,2021-07-30,duration_aware_hsmm,0.00011235691199100442,0.5000561784559955,-0.02012485195395486,0.0
2021-09,2021-08-31,duration_aware_hsmm,2.3341347897333244e-06,0.5000011670673948,-0.017149270841140596,0.0
2021-10,2021-09-30,duration_aware_hsmm,0.7001649728661672,0.8500824864330836,-0.02239085076548608,0.0
2021-11,2021-10-29,duration_aware_hsmm,0.0004640200332341398,0.5002320100166171,0.005409068169041964,1.0
2021-12,2021-11-30,duration_aware_hsmm,-1.0233326247907918e-05,0.49999488333687603,0.055570384022662234,1.0
2022-01,2021-12-30,duration_aware_hsmm,0.9993241412220588,0.9996620706110294,-0.026335719146486802,0.0
2022-02,2022-01-28,duration_aware_hsmm,-0.0020697745778186947,0.4989651127110907,0.032138293130390405,1.0
2022-03,2022-02-28,duration_aware_hsmm,0.00557911615987278,0.5027895580799364,-0.015435320808914188,0.0
2022-04,2022-03-31,duration_aware_hsmm,0.0008543130269027377,0.5004271565134514,-0.02278870862175042,0.0
2022-05,2022-04-29,duration_aware_hsmm,-5.1652002334295144e-05,0.49997417399883287,-0.018023084604038342,0.0
2022-06,2022-05-31,duration_aware_hsmm,0.025826896978742638,0.5129134484893714,-0.08958793065966231,0.0
2022-07,2022-06-30,duration_aware_hsmm,0.49949748142788375,0.7497487407139418,-0.005344094446792069,0.0
2022-08,2022-07-29,duration_aware_hsmm,-0.4014887661512841,0.299255616924358,0.022850153053496136,1.0
2022-09,2022-08-31,duration_aware_hsmm,0.7001975091131549,0.8500987545565775,-0.04188640503359897,0.0
2022-10,2022-09-30,duration_aware_hsmm,-0.29999784070079527,0.35000107964960236,0.0415559463908195,1.0
2022-11,2022-10-31,duration_aware_hsmm,-0.40049787634671674,0.29975106182664163,0.07425323613365808,1.0
2022-12,2022-11-30,duration_aware_hsmm,0.9999968013355836,0.9999984006677918,-0.022291528190051646,0.0
2023-01,2022-12-29,duration_aware_hsmm,-0.000564085860848858,0.49971795706957556,0.0760262576709898,1.0
2023-02,2023-01-31,duration_aware_hsmm,0.999999938707267,0.9999999693536334,0.018659495190876285,1.0
2023-03,2023-02-28,duration_aware_hsmm,4.249961995171994e-06,0.5000021249809976,-0.017865541893955283,0.0
2023-04,2023-03-31,duration_aware_hsmm,0.0377696561877299,0.5188848280938649,0.035943902898995406,1.0
2023-05,2023-04-28,duration_aware_hsmm,0.99012542343522,0.9950627117176101,-0.0007663212473590919,0.0
2023-06,2023-05-31,duration_aware_hsmm,0.00018212225176202998,0.500091061125881,0.012069617322765902,1.0
2023-07,2023-06-30,duration_aware_hsmm,0.41981538121098655,0.7099076906054933,0.015312044569328886,1.0
2023-08,2023-07-31,duration_aware_hsmm,-0.7070471194921271,0.14647644025393647,,
2023-09,2023-08-31,duration_aware_hsmm,-0.2899227752181406,0.3550386123909297,0.017125508691564262,1.0
2023-10,2023-09-27,duration_aware_hsmm,-0.025755395996155197,0.4871223020019224,0.005627439964418723,1.0
2023-11,2023-10-31,duration_aware_hsmm,-0.9999700714791457,1.4964260427130505e-05,0.06930863510489615,1.0
2023-12,2023-11-30,duration_aware_hsmm,0.9999997875353388,0.9999998937676694,0.006332096394227715,1.0
2024-01,2023-12-28,duration_aware_hsmm,0.007209420968485266,0.5036047104842426,-0.05405015174138217,0.0
2024-02,2024-01-31,duration_aware_hsmm,0.40048622615063645,0.7002431130753182,0.05645881425414401,1.0
2024-03,2024-02-29,duration_aware_hsmm,-0.40054023441907455,0.29972988279046275,0.012696841004153026,1.0
2024-04,2024-03-29,duration_aware_hsmm,0.9989451985398059,0.999472599269903,-0.024242328554308412,0.0
2024-05,2024-04-30,duration_aware_hsmm,-0.9972487945477079,0.0013756027261460635,0.013642510166112842,1.0
2024-06,2024-05-31,duration_aware_hsmm,0.6188818255937291,0.8094409127968645,0.03998872231331285,1.0
2024-07,2024-06-28,duration_aware_hsmm,0.22437169890389863,0.6121858494519493,0.022960260008211275,1.0
2024-08,2024-07-31,duration_aware_hsmm,-0.015114871480254179,0.49244256425987293,-0.05481983816218272,0.0
2024-09,2024-08-30,duration_aware_hsmm,-0.4000000000013635,0.29999999999931826,-0.04986225245550213,0.0
