target_month,signal_date,factor_name,p_up,score,p_risk,switches_in_window,realized_10d_return,realized_up
2016-06,2016-05-31,jump_downside_sortino,0.9452954722339693,0.8905909444679386,0.05470452776603071,20,-0.0016466303637346913,0.0
2016-07,2016-06-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,20,0.019672251637469662,1.0
2016-08,2016-07-29,jump_downside_sortino,0.97,0.94,0.03,21,0.017320260478874916,1.0
2016-09,2016-08-31,jump_downside_sortino,0.97,0.94,0.03,20,-0.00977116848767734,0.0
2016-10,2016-09-30,jump_downside_sortino,0.20341689210750735,-0.5931662157849853,0.7965831078924926,19,-0.0062341138759614,0.0
2016-11,2016-10-31,jump_downside_sortino,0.11892202765580284,-0.7621559446883943,0.8810779723441972,19,-0.020172162157329643,0.0
2016-12,2016-11-30,jump_downside_sortino,0.97,0.94,0.03,21,0.026564283325657634,1.0
2017-01,2016-12-29,jump_downside_sortino,0.97,0.94,0.03,19,0.03228857630582138,1.0
2017-02,2017-01-31,jump_downside_sortino,0.97,0.94,0.03,21,-0.0023862617655840968,0.0
2017-03,2017-02-28,jump_downside_sortino,0.97,0.94,0.03,21,0.029234851896953407,1.0
2017-04,2017-03-31,jump_downside_sortino,0.97,0.94,0.03,19,-0.011387668998354417,0.0
2017-05,2017-04-28,jump_downside_sortino,0.97,0.94,0.03,18,0.0427898802767912,1.0
2017-06,2017-05-31,jump_downside_sortino,0.97,0.94,0.03,17,0.006048738904884887,1.0
2017-07,2017-06-30,jump_downside_sortino,0.97,0.94,0.03,15,0.017078824695780037,1.0
2017-08,2017-07-31,jump_downside_sortino,0.7373607291122095,0.474721458224419,0.2626392708877905,12,-0.02860787531212805,0.0
2017-09,2017-08-31,jump_downside_sortino,0.137302276859797,-0.725395446280406,0.862697723140203,12,0.012982954197189756,1.0
2017-10,2017-09-29,jump_downside_sortino,0.9453054585129175,0.8906109170258351,0.05469454148708248,13,0.04132488700668646,1.0
2017-11,2017-10-31,jump_downside_sortino,0.97,0.94,0.03,13,0.0014982479495317946,1.0
2017-12,2017-11-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,16,0.005225076126984307,1.0
2018-01,2017-12-28,jump_downside_sortino,0.030000000000000027,-0.94,0.97,15,0.009457081544606893,1.0
2018-02,2018-01-31,jump_downside_sortino,0.7823652178414455,0.5647304356828909,0.21763478215855453,15,-0.0499925430577941,0.0
2018-03,2018-02-28,jump_downside_sortino,0.03269228657162404,-0.9346154268567519,0.967307713428376,13,0.02272003591703098,1.0
2018-04,2018-03-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,13,0.00015655293183636232,1.0
2018-05,2018-04-30,jump_downside_sortino,0.1530376273278674,-0.6939247453442652,0.8469623726721326,11,-0.021362253289561428,0.0
2018-06,2018-05-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,11,-0.015434125003359278,0.0
2018-07,2018-06-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,10,-0.003328069824965252,0.0
2018-08,2018-07-31,jump_downside_sortino,0.11281040557984634,-0.7743791888403073,0.8871895944201537,10,-0.021473046748283098,0.0
2018-09,2018-08-31,jump_downside_sortino,0.36771770915695656,-0.2645645816860869,0.6322822908430434,10,-0.006508713245339637,0.0
2018-10,2018-09-28,jump_downside_sortino,0.1000212274818294,-0.7999575450363412,0.8999787725181706,10,-0.07850635320101396,0.0
2018-11,2018-10-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,10,0.0187569913201171,1.0
2018-12,2018-11-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,9,-0.021170793596115844,0.0
2019-01,2018-12-28,jump_downside_sortino,0.030000000000000027,-0.94,0.97,8,0.03611768604268262,1.0
2019-02,2019-01-31,jump_downside_sortino,0.97,0.94,0.03,9,-0.004134655352789007,0.0
2019-03,2019-02-28,jump_downside_sortino,0.651254756836126,0.302509513672252,0.348745243163874,9,-0.01353962668353248,0.0
2019-04,2019-03-29,jump_downside_sortino,0.03158224707779178,-0.9368355058444164,0.9684177529222082,10,0.03992934626814182,1.0
2019-05,2019-04-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,11,-0.06597623587209478,0.0
2019-06,2019-05-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,11,0.025032963003965847,1.0
2019-07,2019-06-28,jump_downside_sortino,0.97,0.94,0.03,11,-0.016354946758971534,0.0
2019-08,2019-07-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,12,-0.04386948964483672,0.0
2019-09,2019-08-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,11,0.04966186504927972,1.0
2019-10,2019-09-30,jump_downside_sortino,0.9010439060207688,0.8020878120415376,0.09895609397923125,12,0.010025303965944365,1.0
2019-11,2019-10-31,jump_downside_sortino,0.06065316699928691,-0.8786936660014262,0.9393468330007131,10,0.02566884437000816,1.0
2019-12,2019-11-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,14,0.04873643484263934,1.0
2020-01,2019-12-30,jump_downside_sortino,0.97,0.94,0.03,15,0.019140210805826063,1.0
2020-02,2020-01-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,15,0.061839559999288474,1.0
2020-03,2020-02-28,jump_downside_sortino,0.030000000000000027,-0.94,0.97,15,-0.0978301415745525,0.0
2020-04,2020-03-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,11,0.04463361492616591,1.0
2020-05,2020-04-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,11,-0.01084439910021795,0.0
2020-06,2020-05-29,jump_downside_sortino,0.03624265753919398,-0.927514684921612,0.963757342460806,11,0.05004679792612854,1.0
2020-07,2020-06-30,jump_downside_sortino,0.8508423952439991,0.7016847904879981,0.1491576047560009,14,0.044709642437235075,1.0
2020-08,2020-07-31,jump_downside_sortino,0.9576701401570129,0.9153402803140257,0.042329859842987164,18,0.06648832198246168,1.0
2020-09,2020-08-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,17,0.04179542504237754,1.0
2020-10,2020-09-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,16,0.006916461750136715,1.0
2020-11,2020-10-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,15,0.10434624761068023,1.0
2020-12,2020-11-30,jump_downside_sortino,0.97,0.94,0.03,16,0.06904979523662846,1.0
2021-01,2020-12-30,jump_downside_sortino,0.97,0.94,0.03,15,0.07721528679556844,1.0
2021-02,2021-01-29,jump_downside_sortino,0.7871828519746727,0.5743657039493455,0.21281714802532725,15,0.057629002598751145,1.0
2021-03,2021-02-26,jump_downside_sortino,0.030000000000000027,-0.94,0.97,16,0.006594167340794099,1.0
2021-04,2021-03-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,16,0.03923191423366301,1.0
2021-05,2021-04-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,-0.009930566736066737,0.0
2021-06,2021-05-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,0.010875109332421085,1.0
2021-07,2021-06-30,jump_downside_sortino,0.06463704456138719,-0.8707259108772256,0.9353629554386128,18,-0.011276895641254336,0.0
2021-08,2021-07-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,-0.02012485195395486,0.0
2021-09,2021-08-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,-0.017149270841140596,0.0
2021-10,2021-09-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,-0.02239085076548608,0.0
2021-11,2021-10-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,0.005409068169041964,1.0
2021-12,2021-11-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,0.055570384022662234,1.0
2022-01,2021-12-30,jump_downside_sortino,0.04586269201517601,-0.908274615969648,0.954137307984824,18,-0.026335719146486802,0.0
2022-02,2022-01-28,jump_downside_sortino,0.030000000000000027,-0.94,0.97,18,0.032138293130390405,1.0
2022-03,2022-02-28,jump_downside_sortino,0.030000000000000027,-0.94,0.97,17,-0.015435320808914188,0.0
2022-04,2022-03-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,16,-0.02278870862175042,0.0
