,signal_date,factor_name,p_up,score,p_extra_trees,p_hist_gradient_boosting,p_logistic,train_rows,feature_count,realized_10d_return,realized_up
2014-03,2013-12-30,technical_ml_ensemble,0.4384795656053336,-0.41013622929777616,0.44637477076606713,0.4394704563297509,0.42959346972018286,1260.0,57.0,-0.037134477489857765,0.0
2014-04,2014-03-31,technical_ml_ensemble,0.4955180644700854,-0.0298795701994307,0.4473140342523364,0.6197434617357177,0.41949669742220197,1260.0,57.0,0.009042219848546251,1.0
2014-05,2014-03-31,technical_ml_ensemble,0.4955180644700854,-0.0298795701994307,0.4473140342523364,0.6197434617357177,0.41949669742220197,1260.0,57.0,0.009042219848546251,1.0
2014-06,2014-03-31,technical_ml_ensemble,0.4955180644700854,-0.0298795701994307,0.4473140342523364,0.6197434617357177,0.41949669742220197,1260.0,57.0,0.009042219848546251,1.0
2014-07,2014-06-30,technical_ml_ensemble,0.4398841748599091,-0.40077216760060597,0.3726050968994614,0.4783445305632372,0.46870289711702867,1260.0,57.0,-0.010769089571904922,0.0
2014-08,2014-06-30,technical_ml_ensemble,0.4398841748599091,-0.40077216760060597,0.3726050968994614,0.4783445305632372,0.46870289711702867,1260.0,57.0,-0.010769089571904922,0.0
2014-09,2014-06-30,technical_ml_ensemble,0.4398841748599091,-0.40077216760060597,0.3726050968994614,0.4783445305632372,0.46870289711702867,1260.0,57.0,-0.010769089571904922,0.0
2014-10,2014-09-30,technical_ml_ensemble,0.6406445477920708,0.9376303186138054,0.5843137252656397,0.6529214908373883,0.6846984272731844,1260.0,57.0,-0.05289849572570715,0.0
2014-11,2014-09-30,technical_ml_ensemble,0.6406445477920708,0.9376303186138054,0.5843137252656397,0.6529214908373883,0.6846984272731844,1260.0,57.0,-0.05289849572570715,0.0
2014-12,2014-09-30,technical_ml_ensemble,0.6406445477920708,0.9376303186138054,0.5843137252656397,0.6529214908373883,0.6846984272731844,1260.0,57.0,-0.05289849572570715,0.0
2015-01,2014-12-30,technical_ml_ensemble,0.5558303673114592,0.37220244874306124,0.5374625383832877,0.5044167334479186,0.6256118301031711,1260.0,57.0,0.008917582300186577,1.0
2015-02,2014-12-30,technical_ml_ensemble,0.5558303673114592,0.37220244874306124,0.5374625383832877,0.5044167334479186,0.6256118301031711,1260.0,57.0,0.008917582300186577,1.0
2015-03,2014-12-30,technical_ml_ensemble,0.5558303673114592,0.37220244874306124,0.5374625383832877,0.5044167334479186,0.6256118301031711,1260.0,57.0,0.008917582300186577,1.0
2015-04,2015-03-31,technical_ml_ensemble,0.3749751316134459,-0.8334991225770272,0.31318965811186866,0.4355810761109748,0.3761546606174943,1260.0,57.0,0.02873656806255731,1.0
2015-05,2015-03-31,technical_ml_ensemble,0.3749751316134459,-0.8334991225770272,0.31318965811186866,0.4355810761109748,0.3761546606174943,1260.0,57.0,0.02873656806255731,1.0
2015-06,2015-03-31,technical_ml_ensemble,0.3749751316134459,-0.8334991225770272,0.31318965811186866,0.4355810761109748,0.3761546606174943,1260.0,57.0,0.02873656806255731,1.0
2015-07,2015-06-30,technical_ml_ensemble,0.8221836242698054,1.0,0.8319219221272351,0.7936257464564563,0.8410032042257245,1260.0,57.0,-0.013913443131731484,0.0
2015-08,2015-06-30,technical_ml_ensemble,0.8221836242698054,1.0,0.8319219221272351,0.7936257464564563,0.8410032042257245,1260.0,57.0,-0.013913443131731484,0.0
2015-09,2015-06-30,technical_ml_ensemble,0.8221836242698054,1.0,0.8319219221272351,0.7936257464564563,0.8410032042257245,1260.0,57.0,-0.013913443131731484,0.0
2015-10,2015-09-30,technical_ml_ensemble,0.5776084882261504,0.5173899215076694,0.6140393621804268,0.5712103208329792,0.5475757816650454,1260.0,57.0,0.04928098742105824,1.0
2015-11,2015-09-30,technical_ml_ensemble,0.5776084882261504,0.5173899215076694,0.6140393621804268,0.5712103208329792,0.5475757816650454,1260.0,57.0,0.04928098742105824,1.0
2015-12,2015-09-30,technical_ml_ensemble,0.5776084882261504,0.5173899215076694,0.6140393621804268,0.5712103208329792,0.5475757816650454,1260.0,57.0,0.04928098742105824,1.0
2016-01,2015-12-30,technical_ml_ensemble,0.6401435821369481,0.9342905475796541,0.5860706525622589,0.7335131993598437,0.6008468944887418,1260.0,57.0,-0.04333515046887171,0.0
2016-02,2015-12-30,technical_ml_ensemble,0.6401435821369481,0.9342905475796541,0.5860706525622589,0.7335131993598437,0.6008468944887418,1260.0,57.0,-0.04333515046887171,0.0
2016-03,2015-12-30,technical_ml_ensemble,0.6401435821369481,0.9342905475796541,0.5860706525622589,0.7335131993598437,0.6008468944887418,1260.0,57.0,-0.04333515046887171,0.0
2016-04,2016-03-31,technical_ml_ensemble,0.5042657738177466,0.02843849211831081,0.49911055131541576,0.5906395607089895,0.4230472094288346,1260.0,57.0,0.011019512636409212,1.0
2016-05,2016-03-31,technical_ml_ensemble,0.5042657738177466,0.02843849211831081,0.49911055131541576,0.5906395607089895,0.4230472094288346,1260.0,57.0,0.011019512636409212,1.0
2016-06,2016-03-31,technical_ml_ensemble,0.5042657738177466,0.02843849211831081,0.49911055131541576,0.5906395607089895,0.4230472094288346,1260.0,57.0,0.011019512636409212,1.0
