date,market,category,sell_volume,buy_volume,net_buy_volume,sell_value_krw,buy_value_krw,net_buy_value_krw
2002-05-09,ALL,비차익,15173394,7046423,-8126971,446093255400,232485608300,-213607647100
2002-05-09,ALL,전체,25442356,10054841,-15387515,707909808910,315499551220,-392410257690
2002-05-10,ALL,차익,4292959,1945040,-2347919,113264013530,50672955300,-62591058230
2002-05-10,ALL,비차익,1879851,3958077,2078226,59328307880,145235483300,85907175420
2002-05-10,ALL,전체,6172810,5903117,-269693,172592321410,195908438600,23316117190
2002-05-13,ALL,차익,1847471,1814497,-32974,46030148250,47374702770,1344554520
2002-05-13,ALL,비차익,834436,1976292,1141856,28045730900,68992137510,40946406610
2002-05-13,ALL,전체,2681907,3790789,1108882,74075879150,116366840280,42290961130
2002-05-14,ALL,차익,1363068,3310700,1947632,36083553820,84218501500,48134947680
2002-05-14,ALL,비차익,1173242,5381783,4208541,47539738650,171294155680,123754417030
2002-05-14,ALL,전체,2536310,8692483,6156173,83623292470,255512657180,171889364710
2002-05-15,ALL,차익,604810,3846970,3242160,15031291750,103933439950,88902148200
2002-05-15,ALL,비차익,589977,3594211,3004234,22116413290,117085932410,94969519120
2002-05-15,ALL,전체,1194787,7441181,6246394,37147705040,221019372360,183871667320
2002-05-16,ALL,차익,302090,1198664,896574,7144859650,30744322490,23599462840
2002-05-16,ALL,비차익,1972045,2104631,132586,66964709050,75210076940,8245367890
2002-05-16,ALL,전체,2274135,3303295,1029160,74109568700,105954399430,31844830730
2002-05-17,ALL,차익,0,6608730,6608730,0,156936152820,156936152820
2002-05-17,ALL,비차익,1975574,3887847,1912273,67959466930,128926178140,60966711210
2002-05-17,ALL,전체,1975574,10496577,8521003,67959466930,285862330960,217902864030
2002-05-20,ALL,차익,6033010,227640,-5805370,166363020620,6553740600,-159809280020
2002-05-20,ALL,비차익,6199222,1433758,-4765464,199634920360,60723972100,-138910948260
2002-05-20,ALL,전체,12232232,1661398,-10570834,365997940980,67277712700,-298720228280
2002-05-21,ALL,차익,5033567,1608010,-3425557,132921357130,33744673330,-99176683800
2002-05-21,ALL,비차익,2389686,2216793,-172893,80185302170,78715174950,-1470127220
2002-05-21,ALL,전체,7423253,3824803,-3598450,213106659300,112459848280,-100646811020
2002-05-22,ALL,차익,1297170,2890303,1593133,30423876050,75938801440,45514925390
2002-05-22,ALL,비차익,1637571,3553944,1916373,54901459990,116318614380,61417154390
2002-05-22,ALL,전체,2934741,6444247,3509506,85325336040,192257415820,106932079780
2002-05-23,ALL,차익,7968734,1524741,-6443993,217504950770,37216016070,-180288934700
2002-05-23,ALL,비차익,6341166,1611402,-4729764,202890422130,59769275700,-143121146430
