month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2018-07,0.0018986249352741513,0.0018986249352741513,3.341704983869053,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-08,0.014471115194671036,0.014471115194671036,3.3900631816372284,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-09,-0.00249066002490661,-0.00249066002490661,3.3816196867888166,-0.0024906600249067212,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-10,0.008114856429463302,0.008114856429463302,3.4090610450461547,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-11,0.007880664227413403,0.007880664227413403,3.4359267104729185,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2018-12,0.005305780508237934,0.005305780508237934,3.45415698344108,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-01,0.00038888888888877204,0.00038888888888877204,3.4555002667124177,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-02,0.0012217470983506562,0.0012217470983506562,3.4597220141366236,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-03,0.008930057130179136,0.008930057130179136,3.490617529377402,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-04,0.0030236393622868896,0.0030236393622868896,3.5011718979379163,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-05,0.010030145245272681,0.010030145245272681,3.5362891606029008,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-06,0.004666811373996049,0.004666811373996049,3.552792355079341,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-07,0.014313492492168178,0.014313492492168178,3.6036452217800017,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-08,0.006390116619628294,0.006390116619628294,3.6266729350029423,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-09,-0.008730620667760203,-0.008730620667760203,3.5950098293213992,-0.008730620667760203,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-10,-0.010248745596242226,-0.010248745596242226,3.5581654881646942,-0.018889888353881168,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-11,0.00755042605975631,0.00755042605975631,3.5850311535914585,-0.011482088999417828,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2019-12,-0.0021946258430575183,-0.0021946258430575183,3.5771633515736205,-0.01365151595322489,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
